CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"459,470,760,126",CHICAGO PD,Chicago,"555,988,669,239",4,16A-3(a),1060100,52,Male,Black,Retail Theft,John P Kirby,District 1 - Chicago,26TH Street,0
"459,476,861,110",CHICAGO PD,Chicago,"555,992,599,570",4,16A-3(a),1060100,52,Male,Black,Retail Theft,Larry G Axelrood,District 2 - Skokie,Skokie Courthouse,0
"459,583,445,296",LANSING PD,Lansing,"556,944,476,526",4,402(c),5101110,57,Male,Black,Retail Theft,Darron Edward Bowden,District 6 - Markham,Markham Courthouse,1
"459,593,511,919",LINCOLNWOOD PD,Lincolnwood,"556,407,822,628",4,31-4(a),1340000,26,Male,White,Retail Theft,Timothy J Chambers,District 2 - Skokie,Skokie Courthouse,0
"459,628,958,635",OAK LAWN PD,Oak Lawn,"556,645,034,459",3,16A-3(a),1060200,53,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"459,677,827,515",CHICAGO PD,Chicago,"556,229,647,638",4,16A-3(a),15600,40,Male,Black,Retail Theft,Kenneth J Wadas,District 1 - Chicago,26TH Street,0
"459,680,633,967",CHICAGO PD,Chicago,"556,674,593,821",4,16A-3(a),15600,56,Male,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"459,723,340,853",CHICAGO PD,Chicago,"556,291,877,873",4,16A-3(a),15600,48,Male,Black,Retail Theft,Kevin M Sheehan,District 1 - Chicago,26TH Street,0
"459,724,317,011",CHICAGO PD,Chicago,"556,295,153,149",4,16A-3(a),15600,42,Male,Black,Retail Theft,William G Lacy,District 1 - Chicago,26TH Street,0
"459,726,208,316",SKOKIE PD,Skokie,"556,296,545,141",3,16A-3(a),15601,33,Female,Black,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"459,894,473,448",FOREST PARK PD,Forest Park,"556,880,117,362",4,16A-3(f),1061600,42,Male,Black,Retail Theft,Noreen Valeria Love,District 4 - Maywood,Maywood Courthouse,0
"459,894,473,448",FOREST PARK PD,Forest Park,"556,503,460,674",4,16A-3(a),1060100,42,Male,Black,Retail Theft,Noreen Valeria Love,District 4 - Maywood,Maywood Courthouse,0
"460,002,826,919",OAK LAWN PD,Oak Lawn,"556,627,102,326",4,16A-3(a),1060100,60,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"460,006,243,470",CHICAGO PD,Chicago,"556,627,429,853",4,16A-3(a),15600,48,Male,Black,Retail Theft,Arthur F Hill,District 1 - Chicago,26TH Street,0
"460,017,835,339",CHICAGO PD,Chicago,"556,630,459,483",3,16A-3(a),15601,47,Female,Black,Retail Theft,Joseph G Kazmierski,District 1 - Chicago,26TH Street,0
"460,103,066,082",CHICAGO PD,Chicago,"556,737,888,521",4,16A-3(a),15600,54,Male,Black,Retail Theft,Joseph G Kazmierski,District 1 - Chicago,26TH Street,0
"460,106,665,662",GLENVIEW PD,Glenview,"558,411,226,800",3,16A-3(a),15601,31,Male,White,Retail Theft,Timothy J Chambers,District 2 - Skokie,Skokie Courthouse,0
"460,111,363,420",CHICAGO PD,Chicago,"556,758,031,466",3,16A-3(a),15601,41,Male,Black,Retail Theft,Diane Gordon Cannon,District 1 - Chicago,26TH Street,0
"460,120,453,886",MELROSE PARK PD,Melrose Park,"557,304,674,955",3,16A-3(a),15601,37,Female,Black,Retail Theft,Thomas M Tucker,District 4 - Maywood,Maywood Courthouse,0
"460,136,926,542",ELK GROVE VILLAGE PD,Elk Grove Village,"556,785,216,253",4,16A-3(a),15600,27,Male,White,Retail Theft,Kay M Hanlon,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"460,153,765,257",GLENVIEW PD,Glenview,"556,808,552,591",3,16A-3(a),1060200,39,Male,White,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"460,155,229,493",CHICAGO PD,Chicago,"556,809,207,646",4,16A-3(a),15600,57,Male,Black,Retail Theft,Kevin M Sheehan,District 1 - Chicago,26TH Street,0
"460,156,998,778",SCHAUMBURG PD,Schaumburg,"556,813,711,150",4,16A-3(a),1060100,31,Male,White,Retail Theft,Kay M Hanlon,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"460,171,214,071",CHICAGO PD,Chicago,"556,838,685,126",3,16A-3(a),15601,60,Male,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"460,172,617,297",ORLAND PARK PD,Orland Park,"556,840,077,118",3,16A-3(a),1060200,18,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"460,181,951,802",CHICAGO PD,Chicago,"556,844,580,622",4,16A-3(a),15600,34,Male,Black,Retail Theft,Evelyn B Clay,District 1 - Chicago,26TH Street,0
"460,186,161,481",CHICAGO PD,Chicago,"557,231,472,547",4,16A-3(a),15600,27,Male,Black,Retail Theft,Dennis J Porter,District 1 - Chicago,26TH Street,0
"460,192,079,435",CHICAGO PD,Chicago,"556,857,190,433",4,16A-3(a),15600,30,Male,White,Retail Theft,William T O'Brien,District 2 - Skokie,Skokie Courthouse,0
"460,217,337,508",NORRIDGE PD,Norridge,"556,890,188,834",4,16A-3(a),15600,47,Male,White,Retail Theft,Hyman I Riebman,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"460,218,984,773",ORLAND PARK PD,Orland Park,"558,777,730,134",4,16A-3(a),15600,32,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,1
"460,218,984,773",ORLAND PARK PD,Orland Park,"558,777,648,252",3,16A-3(a),15601,32,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"460,232,223,908",CRESTWOOD PD,Crestwood,"558,583,833,821",3,16A-3(a),15601,47,Male,Black,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,0
"460,232,223,908",CRESTWOOD PD,Crestwood,"556,896,657,503",4,16A-3(a),15600,47,Male,Black,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,1
"460,266,694,466",CHICAGO PD,Chicago,"556,925,561,810",4,16A-3(a),15600,36,Male,White,Retail Theft,Dennis J Porter,District 1 - Chicago,26TH Street,0
"460,331,364,894",CHICAGO PD,Chicago,"557,053,297,557",3,16A-3(a),15601,32,Male,White,Retail Theft,Arthur F Hill,District 1 - Chicago,26TH Street,0
"460,335,818,612",EVANSTON PD,Evanston,"557,070,247,108",4,16A-3(a),1060100,32,Female,White,Retail Theft,Larry G Axelrood,District 2 - Skokie,Skokie Courthouse,0
"460,336,123,661",TINLEY PARK PD,Tinley Park,"558,778,057,661",4,16A-3(a),15600,42,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
